Timestamp,1. Gender:,2. Age:,3. Academic Level:,4. Religion:,5. Ethnicity:,6. Marital Status:,7.Employement Status:,8.  Are you familiar with the terms “pro-life” and “pro-choice”?,9. What is your stance on abortion?,10. Have you participated in a pro-life or pro-choice demonstration?,11. what is your opinion on UCC’s policies regarding abortion?,12. Do you believe that access to contraception can help reduce the need for abortion?,"13. Do you think individuals should have the right to choose their own healthcare, including the right to access abortion services?",14. Have your views on abortion changed over time?,15. what do you think is the most important factor when discussing abortion?,16. Do you think individuals with religious beliefs should have the right to refuse to provide or participate in abortion services ?,17. Do you think the government should provide funding for abortion services ?,18. Do you think comprehensive sex education should be thought in school?
2023/07/18 2:46:33 pm GMT,0,0 years,2,0,9,1,2,0,1,2,1,0,0,2,4,2,0,0
2023/07/18 2:58:03 pm GMT,1,1 years,2,0,0,1,0,0,1,2,1,0,0,2,4,2,0,0
2023/07/18 3:47:41 pm GMT,1,0 years,2,0,1,1,2,0,2,2,0,0,0,1,4,0,0,0
2023/07/18 3:56:16 pm GMT,1,0 years,2,0,0,1,2,2,2,2,2,0,0,2,2,0,0,0
2023/07/18 4:14:22 pm GMT,1,0 years,1,0,2,1,2,0,1,2,1,0,0,2,4,0,0,0
2023/07/18 4:30:36 pm GMT,1,0 years,2,0,1,1,2,2,2,2,2,0,0,2,0,2,2,0
2023/07/18 4:32:09 pm GMT,1,0 years,2,0,0,1,1,2,0,2,0,0,1,2,4,0,1,0
2023/07/18 4:33:00 pm GMT,1,0 years,2,1,8,1,2,1,0,2,0,0,1,0,1,0,1,0
2023/07/18 4:37:56 pm GMT,0,0 years,2,0,2,1,1,0,0,2,0,0,1,2,4,2,2,0
2023/07/18 5:04:38 pm GMT,0,0 years,2,0,2,1,2,0,2,2,0,0,0,2,4,2,0,0
2023/07/18 5:08:21 pm GMT,1,1 years,1,0,4,1,2,0,0,2,0,0,0,2,4,0,1,0
2023/07/18 5:16:39 pm GMT,0,0 years,2,0,1,1,2,1,2,2,2,0,0,2,4,0,0,0
2023/07/18 5:27:12 pm GMT,1,0 years,1,0,0,1,2,1,0,2,0,0,1,0,4,0,1,0
2023/07/18 6:05:41 pm GMT,0,0 years,1,0,0,1,2,2,0,2,2,0,0,2,4,2,2,0
2023/07/18 6:58:44 pm GMT,1,0 years,2,0,0,1,2,0,0,2,0,0,1,2,4,1,2,0
2023/07/18 7:14:38 pm GMT,1,0 years,2,0,1,1,2,1,2,2,2,0,0,2,4,2,1,0
2023/07/18 7:15:26 pm GMT,1,0 years,1,3,2,1,2,0,1,2,1,0,1,1,4,1,0,0
2023/07/18 7:41:15 pm GMT,1,0 years,2,0,0,1,2,0,1,2,2,0,0,1,2,2,1,0
2023/07/18 9:35:54 pm GMT,1,0 years,2,0,0,1,2,1,1,2,2,0,0,0,2,1,0,0
2023/07/18 9:56:27 pm GMT,1,0 years,2,0,2,1,2,0,2,2,2,0,0,2,4,2,2,0
